Gene,FT 15d,FT 25d,FT 55d,FT 85d,FT 115d,FS 145d
Pbr000301.1,713810000.0,2390500000.0,2822100000.0,2278400000.0,1531200000.0,839920000.0
Pbr000302.1,,138260000.0,139560000.0,111830000.0,28633000.0,99664000.0
Pbr000305.1,66644000.0,81660000.0,73852000.0,90237000.0,125820000.0,86576000.0
Pbr000309.1,,,,,,
Pbr000311.1,6759800000.0,4362900000.0,4035100000.0,4508300000.0,3158600000.0,4235200000.0
Pbr000313.1,,33692000.0,,42089000.0,30211000.0,
Pbr000314.1,179460000.0,152820000.0,450540000.0,207000000.0,,
Pbr000315.1,,,,,103300000.0,
Pbr000316.1,19136000000.0,8045900000.0,18954000000.0,28782000000.0,19618000000.0,15155000000.0
Pbr000317.1,2145800000.0,1438500000.0,4255400000.0,12742000000.0,8867900000.0,5405800000.0
Pbr000319.1,195180000.0,709770000.0,1283500000.0,5074600000.0,1668000000.0,2476200000.0
Pbr000321.4,488960000000.0,670830000000.0,976920000000.0,806170000000.0,543930000000.0,360460000000.0
Pbr000322.1,543060000000.0,936530000000.0,1136400000000.0,732050000000.0,490720000000.0,407350000000.0
Pbr000323.1,,,,,,
Pbr000324.1,4394300000.0,3950400000.0,2528300000.0,865950000.0,370310000.0,1350700000.0
Pbr000327.1,102200000.0,1201600000.0,1914100000.0,2619900000.0,365780000.0,3349100000.0
Pbr000330.1,796350000.0,2725300000.0,2972100000.0,2241600000.0,1651800000.0,1700500000.0
Pbr000331.1,644360000.0,1175500000.0,523910000.0,401020000.0,244670000.0,357860000.0
Pbr000335.1,8067700000.0,5451200000.0,6859900000.0,6365300000.0,9001300000.0,9486500000.0
Pbr000338.1,,161370000.0,140620000.0,122170000.0,161180000.0,133980000.0
Pbr000339.1,631660000.0,755240000.0,667720000.0,470140000.0,408520000.0,409880000.0
Pbr000340.1,20463000000.0,8343100000.0,47469000000.0,33886000000.0,63237000000.0,68335000000.0
Pbr000341.1,362470000.0,783200000.0,1790700000.0,1639900000.0,471840000.0,1937600000.0
Pbr000342.1,260940000.0,617400000.0,475320000.0,321120000.0,327240000.0,197200000.0
Pbr000343.1,1988000000.0,1610300000.0,1906900000.0,1809800000.0,2127200000.0,1975400000.0
Pbr000345.1,,,,,,
Pbr000346.2,1219000000.0,1062800000.0,1386800000.0,951130000.0,957740000.0,781520000.0
Pbr000347.2,,48320000.0,,,,
Pbr000348.1,,,,,,
Pbr000351.1,522550000.0,723090000.0,613600000.0,400140000.0,359340000.0,391420000.0
Pbr000352.3,26215000.0,944190000.0,3033100000.0,14180000000.0,3542200000.0,5408400000.0
Pbr000353.1,10957000000.0,6169700000.0,5760900000.0,8083900000.0,8749500000.0,13480000000.0
Pbr000354.1,,,,,,
