Gene,nnpredresult,baggingpredresult,lrpredresult,svmpredresult,xgbpredresult
Pbr018376.1,0.713868060708046,0.6668333333333333,0.6998435095207605,0.7293377559627832,0.75114965736866
Pbr042331.1,0.0846066877245903,0.21183333333333337,0.11304835469603439,0.6179366948247226,0.2663618605583906
Pbr040351.1,0.985786297917366,0.6618333333333333,0.7363257344905909,0.7130953059626317,0.6623006880283355
Pbr011126.1,0.6263144567608834,0.6361666666666665,0.6341536666722921,0.7186218170174914,0.5807431429624558
Pbr006842.1,0.7714172095060349,0.6601666666666665,0.7444978121373996,0.7536376586673993,0.7518390357494354
Pbr004161.1,0.5667095795273781,0.5893333333333334,0.5277534707878647,0.5257313210161112,0.6092189580202103
Pbr030925.1,0.2974662810564041,0.15933333333333335,0.3785684238885404,0.3552319990930851,0.2746705384925008
Pbr039890.1,0.7781253039836884,0.7150000000000001,0.6972924871861732,0.7611611274573006,0.7111076265573502
Pbr027044.1,0.2635365590453148,0.44716666666666677,0.34392381504912306,0.28827506347939275,0.5193728413432837
Pbr031203.1,0.7090752303600312,0.7833333333333334,0.6965227708164539,0.7330711210475187,0.7278802007436752
Pbr035192.1,0.4640185073018074,0.514,0.5020058556636766,0.4973152903559061,0.46711202040314675
Pbr026046.1,0.2552737399935722,0.15783333333333335,0.3280969376220041,0.22612490447827766,0.26491970107890667
Pbr009238.1,0.5061497017741203,0.23500000000000004,0.5298463647116244,0.523734293196434,0.29199310187250377
Pbr040508.1,0.6413237154483795,0.7581666666666667,0.655070232625133,0.7197591302431597,0.7509992867708206
Pbr002524.1,0.5394014284014702,0.6498333333333335,0.5495220680917093,0.6547177897130185,0.5357038229703903
Pbr019283.1,0.521346652507782,0.6168333333333333,0.5319864622199769,0.532942671692923,0.6222994163632393
Pbr021879.1,0.616097541153431,0.6106666666666667,0.5830796974340788,0.5957236747602245,0.6561940908432007
Pbr002664.1,0.4131429001688957,0.6501666666666666,0.4433321056745184,0.41593904950323085,0.6870703473687172
Pbr029534.1,0.7223090976476669,0.6375,0.6618148145000957,0.7444334617944861,0.46987157613039016
Pbr019426.1,0.17157291024923324,0.10433333333333335,0.24909213219902937,0.16179932103650327,0.2482538185082376
Pbr033602.1,0.32248406708240507,0.24100000000000002,0.40272353254717075,0.3774763165413097,0.31967961713671683
Pbr017676.1,0.6318224415183067,0.7193333333333334,0.5141743156197041,0.7063946131058791,0.7285592526197433
