Gene	eccentricity	closeness	degree	eigen_centrality
Pbr021936.1	6.0	0.3634582336218942	171	0.0018991095737455348
Pbr021937.1	6.0	0.3560275319567355	164	0.0007278395856401727
Pbr032223.1	5.0	0.37769228843473834	352	0.04418057898484271
Pbr009040.1	6.0	0.3629074289379786	33	0.0017602719861025404
Pbr002338.1	5.0	0.39985864475660393	788	0.007846179830076348
Pbr017056.1	5.0	0.36312288893702716	40	0.00035057263409261056
Pbr004359.1	5.0	0.36013813517513565	256	0.0019538246880108365
Pbr028316.1	5.0	0.3766550435658231	87	0.002017189399207494
Pbr011985.1	5.0	0.3873474487787344	118	0.00229985128117715
Pbr035737.1	6.0	0.38794174873786075	119	0.002512444949945808
Pbr041387.1	5.0	0.3867186164940702	517	0.003989548444625284
Pbr032958.1	6.0	0.3670751587604117	71	0.0017055504221908384
Pbr026442.1	6.0	0.3403237813085096	68	0.0003867125883776212
Pbr028945.1	6.0	0.3575943366411731	43	0.0006295568980105028
Pbr038140.1	6.0	0.396523628462792	763	0.003924490254391833
Pbr005359.1	6.0	0.36572555230538	56	0.0009323401687928528
Pbr023672.1	5.0	0.37701586032253764	499	0.005180211464443948
Pbr004920.1	6.0	0.3759823223512602	92	0.0015295781308288417
Pbr041656.1	5.0	0.375729501324102	244	0.0015063044770461764
Pbr031168.1	6.0	0.35923200863553745	38	0.0008885410410975222
Pbr026834.1	6.0	0.35848937046541834	37	0.0004223862341464899
Pbr008988.1	5.0	0.40308144453845124	698	0.01343607073903064
Pbr008981.1	5.0	0.40251863182796466	689	0.01358565803871874
Pbr015283.1	6.0	0.36550404186418367	113	0.011543021211354006
Pbr041778.1	6.0	0.3666766585921107	45	0.008245804695168162
Pbr028308.1	5.0	0.40094256050458876	863	0.00676119796172421
Pbr042086.1	6.0	0.37176675455673014	55	0.004195993746740909
Pbr032366.1	6.0	0.3561395916119133	179	0.003065392050775947
Pbr038490.1	5.0	0.3809251279288985	82	0.0050204653178762115
Pbr019435.1	6.0	0.3680871828236825	194	0.0004117208084690353
Pbr005115.1	6.0	0.367417846473568	158	0.00033401682674551544
Pbr033409.1	6.0	0.3578176758453304	107	0.0005669977470324656
Pbr033418.1	6.0	0.3688581371278616	99	0.0007360375234556626
Pbr004484.1	6.0	0.3652651117746752	103	0.0003580415747221301
Pbr031806.1	5.0	0.3714494406920154	236	0.0013391337836672406
Pbr006017.1	5.0	0.38035211563511073	98	0.0015039888544278479
Pbr024282.1	5.0	0.3693005646398381	202	0.0018815043930837706
Pbr024283.1	5.0	0.36602427761558554	214	0.0025130821714307787
Pbr042133.1	6.0	0.36563986977210117	53	0.004083183373277757
Pbr029798.1	5.0	0.36866284373778185	246	0.004987944354265008
Pbr029793.1	5.0	0.36800338244381564	254	0.004575889826964329
Pbr008476.1	5.0	0.42830240458773766	1148	0.1846331104882391
Pbr040037.1	6.0	0.3473096166242058	28	0.0008408259702519876
Pbr033358.1	6.0	0.38312424873448797	506	0.0019538483225553013
Pbr041105.1	6.0	0.36100276774106066	102	0.00034833817168969985
Pbr032231.1	5.0	0.3798445708914514	300	0.014974976238258463
Pbr039853.1	6.0	0.36170960936001534	46	0.003652375972117909
Pbr025990.1	6.0	0.3648234725133	118	0.0035421893608839424
Pbr026026.1	6.0	0.3608732398858218	113	0.003124470070878666
Pbr004617.1	5.0	0.37949104934389805	92	0.0050596504354123275
Pbr037499.1	5.0	0.381233153638814	82	0.003506108722462793
